Individual Establishment Salmonella Categories for Each Product,,,,,,
"for Sample Collection Period December 01, 2024 through November 29, 2025",,,,,,
,,,,,,
Establishment Number,Establishment Name,City,State,District Number,Product Class,Category
P1978,Pasture Raised Foods LLC,Elgin,TX,40,Young Chicken Carcasses,3
P19865+V19865,House of Raeford Farms of LA,Arcadia,LA,40,Young Chicken Carcasses,2
P20245,"Keystone Foods, LLC",Albany,KY,90,Young Chicken Carcasses,1
P20251,"Tecumseh Poultry, Inc",Tecumseh,NE,15,Young Chicken Carcasses,2
P206+V206,Pilgrim's Pride Corporation,Nacogdoches,TX,40,Young Chicken Carcasses,2
P208+V208,"George's Processing, Inc.",Springdale,AR,35,Young Chicken Carcasses,1
P211,"Palmetto Pigeon Plant, Inc.",Sumter,SC,85,Young Chicken Carcasses,3
P21234,Perdue Foods LLC,Perry,GA,85,Young Chicken Carcasses,1
P2178,PERDUE FOODS LLC,Georgetown,DE,80,Young Chicken Carcasses,1
P218,Pilgrim's Pride Corporation,Lufkin,TX,40,Young Chicken Carcasses,1
P2186,"GEORGE'S FOODS, LLC",HARRISONBURG,VA,80,Young Chicken Carcasses,1
P2372,DRR Processing LLC,Burton,TX,40,Young Chicken Carcasses,3
P243,"Tyson Foods, Inc.",Cumming,GA,85,Young Chicken Carcasses,1
P247,"Sanderson Farms, Inc. (Processing Div)",Hazlehurst,MS,90,Young Chicken Carcasses,1
P2632,Pilgrim's Pride Corporation,Live Oak,FL,85,Young Chicken Carcasses,1
P2686,"Keystone Foods, LLC",Camilla,GA,85,Young Chicken Carcasses,1
P2882,Perdue Foods LLC,Petaluma,CA,05,Young Chicken Carcasses,1
P2894,House of Raeford Vienna,Vienna,GA,85,Young Chicken Carcasses,1
P308,Koch Foods of Mississippi,Morton,MS,90,Young Chicken Carcasses,2
P32,"Mar-Jac Poultry, Inc.",Gainesville,GA,85,Young Chicken Carcasses,1
P320,"Sanderson Farms, Inc.",Laurel,MS,90,Young Chicken Carcasses,1
P32143,Otto's Poultry Inc.,Middleville,MI,50,Young Chicken Carcasses,3
P32182,"Sanderson Farms, Inc.",Moultrie,GA,85,Young Chicken Carcasses,1
P325,"Tyson Foods, Inc.",Center,TX,40,Young Chicken Carcasses,1
P3302,Cluck Ya Poultry,Gardiner,ME,60,Young Chicken Carcasses,NA
P33900+V33900,"Case Farms, Processing",Farmerville,LA,40,Young Chicken Carcasses,1
P341,Golden Rod Broilers,Cullman,AL,90,Young Chicken Carcasses,2
P34308,"Sanderson Farms, Inc.",Waco,TX,40,Young Chicken Carcasses,1
P39,Pine Manor Inc.,Orland,IN,50,Young Chicken Carcasses,1
P39915+V39915,"LOCUST POINT FARMS, LLC",ELKTON,MD,80,Young Chicken Carcasses,3
P40,Pilgrim's Pride Corporation,Ellijay,GA,85,Young Chicken Carcasses,1
P40183,"Sanderson Farms, Inc.",Kinston,NC,80,Young Chicken Carcasses,2
P40345,Misty Lea Farm Poultry Processing,Pembroke,KY,90,Young Chicken Carcasses,3
P419,"Case Farms Processing, Inc.",Morganton,NC,80,Young Chicken Carcasses,1
P445,"Wayne Farms, LLC",Dobson,NC,80,Young Chicken Carcasses,1
P44826,Case Farms Processing,Canton,OH,50,Young Chicken Carcasses,1
P44974+V44974,Goffle Road Poultry Farm,Wyckoff,NJ,80,Young Chicken Carcasses,3
P44992,Windy Meadows Family Farm,Campbell,TX,40,Young Chicken Carcasses,3
P45342+V45342,"Munsell's Poultry Processing, LLC",Fowlerville,MI,50,Young Chicken Carcasses,NA
P45483,"Peco Foods, Inc.",Pocahontas,AR,35,Young Chicken Carcasses,1
P45819,King and Sons Poultry Service Inc,Bradford,OH,50,Young Chicken Carcasses,1
P45910,"Sanderson Farms, Inc.",St Pauls,NC,80,Young Chicken Carcasses,1
P46091,"Ozark Mountain Poultry, Inc.",Batesville,AR,35,Young Chicken Carcasses,1
P46213,Burgundy Pasture Poultry LLC,Hillsboro,TX,40,Young Chicken Carcasses,1
P46248A,Wabash Poultry Processing,Forrest,IL,50,Young Chicken Carcasses,3
P46374,Sanderson Farms Processing Inc. Tyler Processing Division,Tyler,TX,40,Young Chicken Carcasses,1
P468,"Peco Foods, Inc.",Batesville,AR,35,Young Chicken Carcasses,1
P46826,SHENANDOAH VALLEY ORGANIC,Harrisonburg,VA,80,Young Chicken Carcasses,1
P46897,"IHSAN FARMS, IIC",PRINCESS ANNE,MD,80,Young Chicken Carcasses,3
P47016,"The Best Dressed Chicken, Inc.",Ward,SC,85,Young Chicken Carcasses,2
P47254,Shining Comb Poultry,Romulus,NY,60,Young Chicken Carcasses,3
P47394,Poultry Processing of Atlanta,Loganville,GA,85,Young Chicken Carcasses,1
P476,Pilgrim's Pride Corporation,Carrollton,GA,85,Young Chicken Carcasses,1
P47824,Regenerative Agriculture Alliance,Stacyville,IA,25,Young Chicken Carcasses,NA
P481,"Tyson Foods, Inc.",Springdale,AR,35,Young Chicken Carcasses,3
P48304,Lincoln Premium Poultry,Fremont,NE,15,Young Chicken Carcasses,2
P48308,"J-Bar Poultry Processing, LLC",New Plymouth,ID,15,Young Chicken Carcasses,NA
P48466,"Al-Kawthar Poultry, LLC",Stevens,PA,60,Young Chicken Carcasses,3
P509,Koch Foods LLC,Morristown,TN,90,Young Chicken Carcasses,1
P510,House Of Raeford Farms,Rose Hill,NC,80,Young Chicken Carcasses,1
P51179+V51179,"Sanderson Farms, Inc.",Palestine,TX,40,Young Chicken Carcasses,1
P517,Mar-Jac Poultry-MS,Hattiesburg,MS,90,Young Chicken Carcasses,1
P519,Amick Farms LLC,Laurel,MS,90,Young Chicken Carcasses,1
P522,"Sanderson Farms, Inc. (Processing Div)",Collins,MS,90,Young Chicken Carcasses,1
P529+V529,Pilgrim's Pride Corporation,Arcadia,WI,25,Young Chicken Carcasses,1
P533,Free Bird Chicken,Fredericksburg,PA,60,Young Chicken Carcasses,1
P548,"JCG  Foods of Alabama, LLC",Collinsville,AL,90,Young Chicken Carcasses,2
P559,"Tyson Foods, Inc.",Albertville,AL,90,Young Chicken Carcasses,1
P5787,Pilgrim's Pride Corporation,Natchitoches,LA,40,Young Chicken Carcasses,1
P6058,Perdue Foods LLC,Mount Vernon,WA,15,Young Chicken Carcasses,3
P6137A,"Foster Poultry Farms, LLC",Fresno,CA,05,Young Chicken Carcasses,1
P6164A,"Foster Poultry Farms, LLC",Kelso,WA,15,Young Chicken Carcasses,1
P622,"Tyson Foods, Inc.",Monroe,NC,80,Young Chicken Carcasses,1
P646,"JCG Foods of Georgia, LLC",Pine Mt Valley,GA,85,Young Chicken Carcasses,1
P6504,"Peco Foods, Inc.",Tuscaloosa,AL,90,Young Chicken Carcasses,1
P6505,"Norman W. Fries, Inc.",Claxton,GA,85,Young Chicken Carcasses,1
P6510,"Peco Foods, Inc",Bay Springs,MS,90,Young Chicken Carcasses,2
P6519B,"Coastal Processing, LLC",Louisville,GA,85,Young Chicken Carcasses,1
P6529,"Koch Foods of  Montgomery, AL",Montgomery,AL,90,Young Chicken Carcasses,1
P6616+V6616,"Peco Foods, Inc.",Sebastopol,MS,90,Young Chicken Carcasses,1
P6638,Pilgrim's Pride Corporation,Enterprise,AL,90,Young Chicken Carcasses,1
P6651,Tyson Foods Inc.,Shelbyville,TN,90,Young Chicken Carcasses,2
P6666,"Koch Foods of Gadsden, LLC",Gadsden,AL,90,Young Chicken Carcasses,2
P687,House of Raeford,West Columbia,SC,85,Young Chicken Carcasses,1
P7044,"Tyson Foods, Inc.",Carthage,TX,40,Young Chicken Carcasses,2
P705,Pilgrim's Pride Corporation,De Queen,AR,35,Young Chicken Carcasses,2
P7085+V7085,"Tyson Foods, Inc",Broken Bow,OK,40,Young Chicken Carcasses,2
P7091,Pilgrim's Pride Corporation,Mount Pleasant,TX,40,Young Chicken Carcasses,1
P7101,"Tyson Foods, Inc.",Clarksville,AR,35,Young Chicken Carcasses,1
P7156+V7156,"Tyson Foods, Inc.",Hope,AR,35,Young Chicken Carcasses,1
P72,"Tyson Foods, Inc",Dardanelle,AR,35,Young Chicken Carcasses,1
P7264+V7264,"Sanderson Farms, Inc.",Hammond,LA,40,Young Chicken Carcasses,1
P727+V727,"Simmons Prepared Foods, Inc.",South West City,MO,35,Young Chicken Carcasses,1
P7342+V7342,Wayne Farms LLC,Dothan,AL,90,Young Chicken Carcasses,1
P7374,"To-Ricos, Ltd.",Aibonito,PR,85,Young Chicken Carcasses,1
P7485+V7485,Wayne Farms LLC,Jack,AL,90,Young Chicken Carcasses,1
P7487,"Koch Foods, LLC",Chattanooga,TN,90,Young Chicken Carcasses,2
P758,"Tyson Foods, Inc",Carthage,MS,90,Young Chicken Carcasses,1
P7632,"Foster Poultry Farms, LLC",Fresno,CA,05,Young Chicken Carcasses,1
P764,"Perdue Foods, LLC",Salisbury,MD,80,Young Chicken Carcasses,1
P768+V768,"Tyson Foods, Inc.",Waldron,AR,35,Young Chicken Carcasses,2
P7903,"Perdue Foods, LLC",Accomac,VA,80,Young Chicken Carcasses,1
P7927,"AMICK FARMS, LLC",HURLOCK,MD,80,Young Chicken Carcasses,1
P7987,Amick Farms LLC.,Batesburg,SC,85,Young Chicken Carcasses,1
P806,"Tyson Foods, Inc.",Temperanceville,VA,80,Young Chicken Carcasses,1
P8107+V8107,Squab Producers Of California,Modesto,CA,05,Young Chicken Carcasses,3
P843,Pilgrim's Pride Corporation,Marshville,NC,80,Young Chicken Carcasses,1
P855,Pilgrim's Pride Corporation,Athens,GA,85,Young Chicken Carcasses,2
P890,"Peco Foods, Inc.",Canton,MS,90,Young Chicken Carcasses,2
P910,"Harrison Poultry, Inc.",Bethlehem,GA,85,Young Chicken Carcasses,1
P912,Wayne Farms LLC,Union Springs,AL,90,Young Chicken Carcasses,1
P9197,"Perdue Foods, LLC.",Lewiston Woodville,NC,80,Young Chicken Carcasses,1
P9332,Diestel Turkey Ranch,Sonora,CA,05,Young Chicken Carcasses,NA
P935,Allen Harim LLC,Harbeson,DE,80,Young Chicken Carcasses,1
P9378+V9378,Baffoni's Poultry Farm Inc.,Johnston,RI,60,Young Chicken Carcasses,3
M10+P7212+V10,Buckhead Meat & Seafood of Houston.,Houston,TX,40,Chicken Parts,3
M10017+P10017,Bert Hazekamp & Son Inc.,Muskegon,MI,50,Chicken Parts,NA
M10038+P10038+V10038,Scotts Hook & Cleaver Inc.,Scotts,MI,50,Chicken Parts,NA
M1015+P1015+V1015,"Empire Kosher Poultry, Inc.",Mifflintown,PA,60,Chicken Parts,1
M1046+P1046+V1046,S & S Meat Co.,Kansas City,MO,35,Chicken Parts,NA
M10828+P10828,Hillside Turkey Farm,Thurmont,MD,80,Chicken Parts,NA
M10835+P10835+V10835,Sudlersville Frozen Meat Locker,SUDLERSVILLE,MD,80,Chicken Parts,1
M1097+P8891,"Demakes Enterprises, LLC",Lynn,MA,60,Chicken Parts,3
M11+P11,The Butchery Inc.,Danvers,MA,60,Chicken Parts,NA
M11041+P11041,Saigon Gourmet LLC,San Jose,CA,05,Chicken Parts,NA
M11078+P11078,Burris Logistics,Los Angeles,CA,05,Chicken Parts,1
M112+P112,"Tyson Foods, Inc",Green Forest,AR,35,Chicken Parts,1
M11507+P11507+V11507,Perdue Foods LLC,Monterey,TN,90,Chicken Parts,NA
M11509+P11509,Bachoco OK Foods,Albertville,AL,90,Chicken Parts,2
M1160+P9207,Rocker Bros. Meat & Provision Inc.,Inglewood,CA,05,Chicken Parts,1
M1234+P1234,Mountaire Farms Inc.,Siler City,NC,80,Chicken Parts,1
M12650+P12650,Fieldale Farms Corporation,Gainesville,GA,85,Chicken Parts,2
M13016+P13016+V13016,"City Meat Steak Co., Inc.",Houston,TX,40,Chicken Parts,NA
M1305+P1305+V1305,"Holly Poultry, LLC",Baltimore,MD,80,Chicken Parts,3
M13127+P13127,Ditta Meat Company,Pasadena,TX,40,Chicken Parts,2
M13149+P13149+V13149,Krehbiels Specialty Meats Inc,McPherson,KS,35,Chicken Parts,NA
M13170+P13170+V13170,Oklahoma City Meat Company,Oklahoma City,OK,40,Chicken Parts,1
M13199+P13199,Chorizo de San Manuel Inc.,Edinburg,TX,40,Chicken Parts,NA
M13409+P13409,"O'Steen Meat Specialties, Inc.",Oklahoma City,OK,40,Chicken Parts,NA
M13432A+P13432A,"Martin Foods, L.P.",Houston,TX,40,Chicken Parts,3
M13456+P13456+V13456,"Tyson Foods, Inc.",Pine Bluff,AR,35,Chicken Parts,3
M13484+P13484,Direct Source Meats,San Antonio,TX,40,Chicken Parts,NA
M13530+P13530,Tian Tian Food Service,Houston,TX,40,Chicken Parts,1
M13556+P13556,"Tyson Foods, Inc.",Sedalia,MO,35,Chicken Parts,1
M13564+P13564,"Rath, Inc.",Apache,OK,40,Chicken Parts,1
M13590+P13590,"Southwest Processor, Inc.",Stafford,TX,40,Chicken Parts,1
M1383+P677,Praters Foods,Lubbock,TX,40,Chicken Parts,1
M1393+P836,Les Chateaux DeFrance Inc,Inwood,NY,60,Chicken Parts,1
M1407+P1407+V1407,East Texas Beef Processors,Frankston,TX,40,Chicken Parts,NA
M1542+P1542,Isernio's Sausage Co.,Kent,WA,15,Chicken Parts,NA
M15735+P15735+V15735,FULTON MARKET,Chicago,IL,50,Chicken Parts,2
M15805+P15805+V15805,J&B Wholesale Distributing Inc.,St Michael,MN,25,Chicken Parts,3
M1645+P1645,"Nathan & Sons, Inc.",South El Monte,CA,05,Chicken Parts,1
M1655+P1655+V1655,"Rashbe Holdings, Inc.",Birdsboro,PA,60,Chicken Parts,2
M1698+P787+V1698,Schreiber Processing Corporation,Maspeth,NY,60,Chicken Parts,1
M17217A+P6403A+V17217A,Plymouth Poultry Co.,Auburn,WA,15,Chicken Parts,3
M17250+P6+V6,"Tyson Foods, Inc.",Blountsville,AL,90,Chicken Parts,1
M17270+P17270,Sovereign Seafoods Inc,Santa Barbara,CA,05,Chicken Parts,NA
M17335+P17335,"Intra Coastal Packing, Inc.",Lake Worth,FL,85,Chicken Parts,1
M17375+P17375,E.G. Food Inc.,Brooklyn,NY,60,Chicken Parts,NA
M17395+P17395,50th State Poultry,Pearl City,HI,15,Chicken Parts,2
M17454+P17454,Clark's Poultry and Seafood,Hamburg,NY,60,Chicken Parts,NA
M17554+P17554,"Farmingdale Meat Market, Inc., DBA Main Street Wholesale Meats",Farmingdale,NY,60,Chicken Parts,NA
M17557+P17557,"JPI Wholesalers, Inc.",Hannibal,MO,35,Chicken Parts,2
M1759+P1759,Fortune Wisconsin LLC,Green Bay,WI,25,Chicken Parts,1
M17751+P17751,"Chamblee Meats & Suppy, Inc.",Chamblee,GA,85,Chicken Parts,NA
M1776+P1776,"San Lorenzo Foods, LLC",Pomona,CA,05,Chicken Parts,NA
M17781+P17781,Sea Bend Meat Company,Shoreline,WA,15,Chicken Parts,NA
M17874+P17874,"P&F Meat Market ""DBA"" MeatCrafters",LANDOVER,MD,80,Chicken Parts,NA
M1790+P18123+V1790,Grecian Delight Foods Inc.,Elk Grove Village,IL,50,Chicken Parts,NA
M1791+P27353,"Best Chicago Meat Company, LLC",Chicago,IL,50,Chicken Parts,3
M17980+P17980,Pilgrim's Pride Corporation,Sumter,SC,85,Chicken Parts,1
M18022+P18022,Peter's Wholesale Meat Corporation,Springfield Gardens,NY,60,Chicken Parts,1
M18237+P18237,"Vital Foods, LLC",Abbeville,SC,85,Chicken Parts,NA
M18341+P18341,"Crescent Prime Cuts, Ltd.",Farmingdale,NY,60,Chicken Parts,NA
M18370+P18370,Hometown Sausage Kitchen,East Troy,WI,25,Chicken Parts,NA
M18416+P18416+V18416,"New York Food Service, Inc.",Bronx,NY,60,Chicken Parts,1
M18554+P18554,JCG Industries,Chicago,IL,50,Chicken Parts,3
M18554A+P18554A,JCG Industries,Franklin Park,IL,50,Chicken Parts,1
M18559+P18559+V18559,Grand Food,Hayward,CA,05,Chicken Parts,NA
M18578+P18578,"Kellys Foods, Inc.",Winter Garden,FL,85,Chicken Parts,1
M18596+P18596,K&L Ranch Inc.,Paterson,NJ,80,Chicken Parts,1
M18600+P18600,Greco and Sons,Bartlett,IL,50,Chicken Parts,1
M18661+P18661,Mega Meats,Bronx,NY,60,Chicken Parts,NA
M18667+P18667,Ellsworth Foods Inc.,Tifton,GA,85,Chicken Parts,2
M18678+P18678+V18678,"Fells Point, LLC",Baltimore,MD,80,Chicken Parts,1
M18743+P18743,"Olympia Food Industries, Inc.",Franklin Park,IL,50,Chicken Parts,1
M18746+P18746,"Lindsay Foods, Inc.",Milwaukee,WI,25,Chicken Parts,NA
M18820+P18820,"Mathew's Prime Meats, Inc.",West Babylon,NY,60,Chicken Parts,NA
M1887+P1887,"Marcel's Portion Pak, Inc",Opa-Locka,FL,85,Chicken Parts,1
M18878+P18878,"Piccinini Brothers, Inc",New York,NY,60,Chicken Parts,NA
M18888+P18888,Brighton Packing LLC,Chicago,IL,50,Chicken Parts,1
M18895+P18895,"US Foods, Inc.",Hawthorne,CA,05,Chicken Parts,1
M18987+P18987,JRG Meat Processing Plant,Aibonito,PR,85,Chicken Parts,1
M18994+P18994,The 29ers Provisions,Los Angeles,CA,05,Chicken Parts,1
M19034+P19034+V19034A,Berk Lombardo Packing Co.. Inc.,Hauppauge,NY,60,Chicken Parts,NA
M1909+P1909,Legacy Agricultural Farms LLC,Hempstead,TX,40,Chicken Parts,NA
M1913A+P18075A+V1913A,"Three Sons Processing-Texas, Inc.",DFW Airport,TX,40,Chicken Parts,2
M19194+P19194,"US Foods, Inc.",Phoenix,AZ,05,Chicken Parts,1
M1940+P17937+V1940,Ruprecht Company,Mundelein,IL,50,Chicken Parts,3
M19433+P19433,Ambassador Meat Dist. Inc.,Kansas City,MO,35,Chicken Parts,1
M1947A+P1947A,Halperns' Steak and Seafood Company LLC,Kalamazoo,MI,50,Chicken Parts,3
M19545A+P19545A,Integrity Foods Inc.,Athens,GA,85,Chicken Parts,1
M19636+P19636,Tyson Foods Inc,Union City,TN,90,Chicken Parts,1
M19652+P19652,Swift Beef Company,Greeley,CO,15,Chicken Parts,2
M19719+P19719,Twin Rivers Foods,Fort Smith,AR,35,Chicken Parts,1
M19719E+P19719E,Twin Rivers Foods,Ft. Smith,AR,35,Chicken Parts,1
M19782+P19782,E. Excel Food Inc,Anaheim,CA,05,Chicken Parts,1
M19879+P19879+V19879,Golden Valley Industries,Modesto,CA,05,Chicken Parts,1
M19915+P19915+V19915,Corfini Meat and Seafood,Salt Lake City,UT,15,Chicken Parts,NA
M19916+P8117+V19916,Salt Lake Fine Foods,Salt Lake City,UT,15,Chicken Parts,1
M19953+P19953,Go Go Sales Inc.,Los Angeles,CA,05,Chicken Parts,1
M1998+P1998,Southern Texas Food Group,Eagle Pass,TX,40,Chicken Parts,NA
M19999+P19999,"AU, LAU and Associates, Inc.",Pompano Beach,FL,85,Chicken Parts,1
M20088+P20088+V20088,"Brakebush Irving, Inc.",Irving,TX,40,Chicken Parts,1
M20106+P20106,Dallas USA Foods Inc.,Dallas,TX,40,Chicken Parts,1
M20117+P20117,Culinary Specialties Inc.,San Marcos,CA,05,Chicken Parts,NA
M20153+P20153,Rice Field Corporation,City of Industry,CA,05,Chicken Parts,1
M20251W+P20251W,"Tecumseh Poultry, LLC",Waverly,NE,15,Chicken Parts,1
M20322+P20322,"Keystone Foods, LLC.",Bakerhill,AL,90,Chicken Parts,1
M20401+P20401,"Prime Foods, Inc.",Hyattsville,MD,80,Chicken Parts,1
M20446+P20446+V20446,Central Illinois Poultry Processing LLC,Arthur,IL,50,Chicken Parts,NA
M20672+P20672,"Central Meat Processors, Inc.",Cayey,PR,85,Chicken Parts,NA
M20676+P20676+V20676,Supreme Meat Purveyors LLC,San Antonio,TX,40,Chicken Parts,NA
